herd_size,vaccination_rate,previous_cases,mortality_rate,biosecurity_score,nearby_outbreak,risk_level
100,95,0,1,9,0,Low
120,90,0,1,8,0,Low
150,88,1,2,8,0,Medium
180,82,1,2,7,0,Medium
200,78,1,3,7,1,Medium
250,70,2,4,6,1,High
300,65,3,5,5,1,High
350,60,4,6,4,1,High
90,96,0,1,10,0,Low
130,92,0,1,9,0,Low
160,85,1,2,8,0,Medium
220,75,2,3,6,1,High
280,68,3,5,5,1,High
110,94,0,1,9,0,Low
170,84,1,2,7,0,Medium
240,72,2,4,6,1,High
140,89,0,2,8,0,Low
190,80,1,3,7,0,Medium
260,69,2,5,5,1,High
310,63,3,6,4,1,High
